Write Type,Global Time,Logical Clock Time,Message,Message Queue Length,Sender
3,1678156020.696485,1,"1, 3",-1,-1
3,1678156020.6965802,1,"1, 3",-1,-1
4,1678156020.899883,2,-1,-1,-1
0,1678156021.100656,6,"5, 1",0,1
10,1678156021.302794,7,-1,-1,-1
8,1678156021.505624,8,-1,-1,-1
2,1678156021.709978,9,"9, 3",-1,-1
7,1678156021.913887,10,-1,-1,-1
0,1678156022.1187708,18,"17, 2",0,2
2,1678156022.3227289,19,"19, 3",-1,-1
0,1678156022.526858,23,"22, 1",0,1
0,1678156022.729142,24,"23, 1",0,1
3,1678156022.933022,25,"25, 3",-1,-1
3,1678156022.933059,25,"25, 3",-1,-1
3,1678156023.1376991,26,"26, 3",-1,-1
3,1678156023.13777,26,"26, 3",-1,-1
1,1678156023.34039,27,"27, 3",-1,-1
1,1678156023.544693,28,"28, 3",-1,-1
2,1678156023.7457302,29,"29, 3",-1,-1
0,1678156023.9487438,37,"36, 1",0,1
6,1678156024.1526139,38,-1,-1,-1
0,1678156024.354969,41,"40, 1",0,1
0,1678156024.5566258,44,"43, 2",0,2
0,1678156024.7589738,46,"45, 2",0,2
0,1678156024.9616551,47,"46, 2",0,2
1,1678156025.164448,48,"48, 3",-1,-1
0,1678156025.367105,52,"51, 1",0,1
1,1678156025.5697331,53,"53, 3",-1,-1
