Write Type,Global Time,Logical Clock Time,Message,Message Queue Length,Sender,1.0
0,1678300330.2343738,2,"1, 1",0,1
0,1678300331.2376719,3,"2, 1",0,1
0,1678300332.242456,5,"4, 1",1,1
0,1678300333.24578,6,"5, 1",0,1
0,1678300334.2512078,10,"9, 1",0,1
0,1678300335.25856,12,"11, 1",0,1
0,1678300336.2634869,14,"13, 1",0,1
0,1678300337.267827,15,"14, 1",1,1
0,1678300338.2734342,16,"15, 1",1,1
0,1678300339.276327,17,"16, 1",0,1
0,1678300340.281836,22,"21, 2",0,2
2,1678300341.288872,23,"23, 3",-1,-1
0,1678300342.292959,27,"26, 1",0,1
0,1678300343.2984152,28,"27, 2",2,2
0,1678300344.3021922,29,"27, 1",3,1
0,1678300345.309,30,"28, 2",5,2
0,1678300346.313575,31,"29, 2",4,2
0,1678300347.317694,32,"30, 1",5,1
0,1678300348.3236248,33,"32, 2",5,2
0,1678300349.3279622,34,"33, 2",6,2
0,1678300350.3320162,35,"34, 1",6,1
0,1678300351.333385,38,"37, 2",5,2
0,1678300352.3373399,39,"38, 2",6,2
0,1678300353.342941,41,"40, 1",9,1
0,1678300354.343752,43,"42, 1",8,1
0,1678300355.35084,45,"44, 2",7,2
0,1678300356.35501,47,"46, 1",7,1
0,1678300357.3583732,51,"50, 2",7,2
0,1678300358.363359,53,"52, 1",7,1
0,1678300359.3737988,54,"53, 1",6,1
0,1678300360.375941,55,"53, 2",7,2
0,1678300361.377513,56,"54, 2",8,2
0,1678300362.3837829,57,"54, 1",10,1
0,1678300363.389032,60,"59, 1",10,1
0,1678300364.393224,62,"61, 1",12,1
0,1678300365.3966012,64,"63, 1",13,1
0,1678300366.4011788,68,"67, 2",13,2
0,1678300367.4030669,69,"68, 2",14,2
0,1678300368.406681,70,"69, 2",13,2
0,1678300369.412201,71,"70, 2",12,2
0,1678300370.413425,73,"72, 1",12,1
0,1678300371.4145322,74,"73, 2",12,2
0,1678300372.4189801,75,"73, 1",13,1
0,1678300373.42467,76,"75, 1",15,1
0,1678300374.426904,77,"76, 2",14,2
0,1678300375.430756,78,"77, 2",15,2
0,1678300376.436151,79,"77, 1",16,1
0,1678300377.44088,80,"79, 1",16,1
0,1678300378.4518468,81,"79, 2",15,2
0,1678300379.457464,82,"81, 1",15,1
0,1678300380.462213,84,"83, 1",15,1
0,1678300381.468043,85,"84, 2",15,2
0,1678300382.4754329,91,"90, 1",16,1
0,1678300383.4777339,93,"92, 1",17,1
0,1678300384.484221,94,"93, 1",16,1
0,1678300385.4900632,95,"94, 1",16,1
0,1678300386.498205,96,"95, 1",16,1
0,1678300387.503505,97,"96, 2",15,2
0,1678300388.5095081,98,"97, 2",15,2
0,1678300389.512373,101,"100, 1",16,1
0,1678300390.515635,103,"102, 2",17,2
0,1678300391.51689,104,"103, 1",18,1
0,1678300392.52225,105,"103, 2",19,2
0,1678300393.5238569,106,"105, 2",19,2
0,1678300394.5292292,110,"109, 1",19,1
0,1678300395.5350552,112,"111, 1",20,1
0,1678300396.537822,115,"114, 1",21,1
0,1678300397.546935,117,"116, 2",20,2
0,1678300398.55071,118,"116, 1",21,1
0,1678300399.555855,119,"117, 1",20,1
0,1678300400.560141,120,"118, 1",22,1
0,1678300401.56448,122,"121, 1",23,1
0,1678300402.5716639,125,"124, 2",23,2
0,1678300403.5750349,129,"128, 1",23,1
0,1678300404.579753,130,"129, 1",24,1
0,1678300405.584085,131,"130, 1",24,1
0,1678300406.588046,132,"131, 1",25,1
0,1678300407.5921931,133,"132, 1",26,1
0,1678300408.595349,134,"133, 1",27,1
0,1678300409.598788,135,"134, 1",28,1
0,1678300410.603113,137,"136, 1",28,1
0,1678300411.605628,138,"137, 2",28,2
0,1678300412.612789,140,"139, 2",30,2
0,1678300413.618169,142,"141, 1",30,1
0,1678300414.622067,143,"142, 1",30,1
0,1678300415.6256409,144,"143, 2",30,2
0,1678300416.6275961,146,"145, 1",31,1
0,1678300417.632303,147,"146, 1",31,1
0,1678300418.635415,151,"150, 1",31,1
0,1678300419.640557,152,"151, 2",31,2
0,1678300420.646179,155,"154, 1",32,1
0,1678300421.6542552,156,"155, 1",32,1
0,1678300422.662338,157,"156, 2",34,2
0,1678300423.668161,158,"157, 2",34,2
0,1678300424.671687,159,"158, 1",35,1
0,1678300425.673728,161,"160, 1",34,1
0,1678300426.6826189,162,"161, 2",34,2
0,1678300427.6857018,164,"163, 1",34,1
0,1678300428.688517,165,"164, 2",35,2
0,1678300429.692091,167,"166, 2",36,2
0,1678300430.695987,169,"168, 1",36,1
0,1678300431.708447,170,"169, 2",37,2
0,1678300432.7147992,171,"170, 2",37,2
0,1678300433.7204921,172,"171, 1",38,1
0,1678300434.727044,173,"172, 1",37,1
0,1678300435.727902,174,"173, 2",36,2
0,1678300436.732882,176,"175, 2",35,2
0,1678300437.737922,178,"177, 1",34,1
0,1678300438.73975,179,"178, 2",34,2
0,1678300439.748141,180,"179, 2",34,2
0,1678300440.752738,182,"181, 2",35,2
0,1678300441.7564,183,"182, 2",35,2
0,1678300442.76161,184,"183, 1",34,1
